manufacturer,model,description,transmission,engineCapacity,fuelType,elecEnergyConsumption,maxRange,CO2,fuelCost,elecCost,totalCost,euro,enginePower
BMW,i Series From November 2013,i3 - 19'' tyres,N/A,,Electricity,4.9,193,0,N/A,399,399,Euro 6-NEDC,
BMW,i Series From November 2013,i3 - 20'' tyres,N/A,,Electricity,4.7,186,0,N/A,416,416,Euro 6-NEDC,
HYUNDAI,Kona,Electric 39kWh battery,N/A,,Electricity,4.1,179,0,N/A,477,477,Euro 6-WLTP,136
HYUNDAI,Kona,Electric 64kWh battery,N/A,,Electricity,4,277,0,N/A,489,489,Euro 6-WLTP,204
HYUNDAI,IONIQ,Electric Premium & Premium SE - 19MY,N/A,,Electricity,5.4,173,0,N/A,362,362,Euro 6-NEDC,120
JAGUAR,"I-PACE, 19MY",EV400 AWD LOW,AT,0,Electricity,3,292,0,N/A,699,699,Euro 6-WLTP,0
JAGUAR,"I-PACE, 19MY",EV400 AWD HIGH,AT,0,Electricity,3,257,0,N/A,782,782,Euro 6-WLTP,0
KIA,Niro EV,'First Edition' 64kWh Lithium-ion,N/A,,Electricity,3.9,282,0,N/A,502,502,Euro 6-WLTP,
KIA,Soul EV,'First Edition' 64 kWh lithium-ion 150kw 1-speed auto,N/A,0,Electricity,4,280,0,N/A,489,489,Euro 6-WLTP,204
NISSAN,Leaf 2016,Leaf 24kWh,N/A,,Electricity,4.1,123,0,N/A,477,477,Euro 6-NEDC,
NISSAN,Leaf 2016,Leaf 30kWh,N/A,,Electricity,4.1,155,0,N/A,477,477,Euro 6-NEDC,
NISSAN,Leaf 40KW 2018,40KW,N/A,,Electricity,3,167,0,N/A,652,652,Euro 6-WLTP,
NISSAN,E-NV200 2014,E-NV200,N/A,,Electricity,3.8,105,0,N/A,515,515,Euro 6-NEDC,
RENAULT,Zoe 2017,Expression Nav R90,N/A,,Electricity,4.3,149,0,N/A,455,455,Euro 6-NEDC,
RENAULT,Zoe 2017,Dynamique Nav R90,N/A,,Electricity,4.7,250,0,N/A,416,416,Euro 6-NEDC,
RENAULT,Zoe 2017,Dynamique Nav Q90,N/A,,Electricity,4.3,229,0,N/A,455,455,Euro 6-NEDC,
RENAULT,Zoe,Zoe,N/A,,Electricity,4.3,149,0,N/A,455,455,Euro 6-NEDC,
RENAULT,Zoe,Zoe Rapid Charge,N/A,,Electricity,4.3,130,0,N/A,455,455,Euro 6-NEDC,
RENAULT,"ZOE, 2018",R110 ZE 40,N/A,,Electricity,3.5,116,0,N/A,559,559,Euro 6-WLTP,
RENAULT,"ZOE, 2018",Q90 ZE 40,N/A,,Electricity,3.5,116,0,N/A,559,559,Euro 6-WLTP,
SMART,fortwo coupé Model Year 2018,electric drive with 15'' rear wheels,N/A,,Electricity,4.8,98,0,N/A,408,408,Euro 6-NEDC,
SMART,fortwo coupé Model Year 2018,electric drive with 16'' rear wheels,N/A,,Electricity,4.8,98,0,N/A,408,408,Euro 6-NEDC,
SMART,fortwo cabrio Model Year 2018,electric drive with 15'' rear wheels,N/A,,Electricity,4.8,95,0,N/A,408,408,Euro 6-NEDC,
SMART,fortwo cabrio Model Year 2018,electric drive with 16'' rear wheels,N/A,,Electricity,4.8,95,0,N/A,408,408,Euro 6-NEDC,
SMART,forfour Model Year 2018,electric drive with 15'' rear wheels,N/A,,Electricity,4.8,95,0,N/A,408,408,Euro 6-NEDC,
SMART,forfour Model Year 2018,electric drive with 16'' rear wheels,N/A,,Electricity,4.8,95,0,N/A,408,408,Euro 6-NEDC,
TESLA,Model S,P100D,N/A,,Electricity,3.1,380,0,N/A,631,631,Euro 6-NEDC,
TESLA,Model S,P90D,N/A,,Electricity,3.1,316,0,N/A,631,631,Euro 6-NEDC,
TESLA,Model S,100D,N/A,,Electricity,3.3,392,0,N/A,593,593,Euro 6-NEDC,
TESLA,Model S,90D,N/A,,Electricity,3.3,346,0,N/A,593,593,Euro 6-NEDC,
TESLA,Model S,75D,N/A,,Electricity,3.3,304,0,N/A,593,593,Euro 6-NEDC,
TESLA,Model S,70D,N/A,,Electricity,3.3,292,0,N/A,593,593,Euro 6-NEDC,
TESLA,Model S,60D,N/A,,Electricity,3.3,252,0,N/A,593,593,Euro 6-NEDC,
TESLA,Model S,75,N/A,,Electricity,3.4,298,0,N/A,575,575,Euro 6-NEDC,
TESLA,Model S,70,N/A,,Electricity,3.4,282,0,N/A,575,575,Euro 6-NEDC,
TESLA,Model S,60,N/A,,Electricity,3.3,247,0,N/A,593,593,Euro 6-NEDC,
TESLA,Model S,Standard (SA1EB),N/A,,Electricity,3,283,0,N/A,611,611,Euro 6-WLTP,
TESLA,Model S,Long Range (SA3EB),N/A,,Electricity,3,379,0,N/A,593,593,Euro 6-WLTP,
TESLA,Model S,Performance (SA3EP),N/A,,Electricity,3,368,0,N/A,611,611,Euro 6-WLTP,
TESLA,Model X,P100D,N/A,,Electricity,2.7,336,0,N/A,724,724,Euro 6-NEDC,
TESLA,Model X,P90D,N/A,,Electricity,2.9,290,0,N/A,674,674,Euro 6-NEDC,
TESLA,Model X,100D,N/A,,Electricity,3,351,0,N/A,652,652,Euro 6-NEDC,
TESLA,Model X,90D,N/A,,Electricity,3,303,0,N/A,652,652,Euro 6-NEDC,
TESLA,Model X,75D,N/A,,Electricity,3,259,0,N/A,652,652,Euro 6-NEDC,
TESLA,Model X,60D,N/A,,Electricity,3,225,0,N/A,652,652,Euro 6-NEDC,
TESLA,Model X,Standard (XA1EB),N/A,,Electricity,3,233,0,N/A,724,724,Euro 6-WLTP,
TESLA,Model X,Long Range (XA3EB),N/A,,Electricity,3,315,0,N/A,724,724,Euro 6-WLTP,
TESLA,Model X,Performance (XA3EP),N/A,,Electricity,3,303,0,N/A,752,752,Euro 6-WLTP,
TESLA,Model 3,Standard Range Plus (E1R),N/A,,Electricity,4,254,0,N/A,466,466,Euro 6-WLTP,
TESLA,Model 3,RWD Long range battery (E3R),N/A,,Electricity,4,373,0,N/A,466,466,Euro 6-WLTP,
TESLA,Model 3,Long Range (E3DB),N/A,,Electricity,4,348,0,N/A,502,502,Euro 6-WLTP,
TESLA,Model 3,Performance (E3DP),N/A,,Electricity,4,329,0,N/A,529,529,Euro 6-WLTP,
VOLKSWAGEN,UP,e-UP,N/A,,Electricity,5.3,99,0,N/A,369,369,Euro 6-NEDC,
VOLKSWAGEN,Golf,eGolf,N/A,,Electricity,4.9,186,0,N/A,399,399,Euro 6-NEDC,
HYUNDAI,IONIQ,"Plug-In hybrid, all trim levels - 20MY",DCT6,1580,Petrol Electric,7.5,25,26,1204,261,1465,Euro 6d-TEMP,105
KIA,Niro,3 1.6 GDi 8.9kWh lithium-ion 139bhp 6-speed auto DCT Plug-in Hybrid,6-speed auto DCT,1580,Petrol Electric,,,29,351,,351,Euro 6d-TEMP,141
TOYOTA,Prius Plug-In,1.8L PHV Business Edition Plus,CVT,1798,Petrol Electric,18,34,29,N/A,107,107,Euro 6-WLTP,122
TOYOTA,Prius Plug-In,1.8L PHV Excel,CVT,1798,Petrol Electric,18,34,29,N/A,107,107,Euro 6-WLTP,122
VOLVO,"S60, MY20","T8 Twin Engine AWD R-Design Plus 19"" Alloy",8A AWD,1969,Petrol Hybrid,0,33,39,1782,,1782,Euro 6d-TEMP,390
VOLVO,"S60, MY20","T8 Twin Engine AWD R-Design Plus 19"" Alloy",8A AWD,1969,Petrol Hybrid,0,33,39,1562,,1562,Euro 6d-TEMP,390
VOLVO,"V60, MY20","T8 Twin Engine AWD R-Design Plus 19"" Alloy",8A AWD,1969,Petrol Hybrid,0,34,39,1906,,1906,Euro 6d-TEMP,390
VOLVO,"V60, MY20","T8 Twin Engine AWD R-Design Plus 19"" Alloy",8A AWD,1969,Petrol Hybrid,0,34,39,1689,,1689,Euro 6d-TEMP,390
VOLVO,"S90, MY20","T8 Twin Engine AWD R-Design Plus 19"" Alloy",8A AWD,1969,Petrol Hybrid,0,33,40,1932,,1932,Euro 6d-TEMP,390
VOLVO,"S90, MY20","T8 Twin Engine AWD Inscription Plus 19"" Alloy",8A-AWD,1969,Petrol Hybrid,0,33,40,1932,,1932,Euro 6d-TEMP,390
